time,mean,std
97,0.08597643509,0.04825260844853232
98,0.094781658075,0.06347126647865695
99,0.10284298039,0.07366733608791297
100,0.10228868413,0.07204458157240617
101,0.11080125979,0.07558369194468507
102,0.113384209837,0.08654229852120647
103,0.11699502028,0.07970635345886097
104,0.09983973933,0.07279305415124489
105,0.09822231639,0.06601024767455246
106,0.09383692624,0.08093971054214551
107,0.09180674491,0.04986592578976056
108,0.11166965206,0.07646218732931623
109,0.10280304124,0.059479435594217873
110,0.09314588069,0.042154227152886956
111,0.10972718946,0.05758758001128644
112,0.11760349751,0.07529284021865544
113,0.12894065369,0.09987922914999894
114,0.11694559875,0.060836690858610334
